UNIDAD DE NEGOCIO,CUENTA MAYOR,Obj,,Descripción de cuenta,N  D,V  c,Largo,,,,,,
,,285,01,ISR Diferido,6,X,12,,,,,,
1,286,286,,PASIVO POR ARRENDAMIENTO,5,N,24,,,,,,
,,286,01,Pasivo Por Arrendamiento,6,X,24,,,,,,
1,3,3,,CAPITAL,3,N,7,,,,,,
1,30,30,,CAPITAL CONTABLE,4,N,16,,,,,,
1,300,300,,CAPITAL SOCIAL,5,N,14,,,,,,
,,300,01,Capital Social Fijo,6,X,19,,,,,,
,,300,02,Capital Social Variable,6,X,23,,,,,,
,,300,99,Act. B-10 Capital Social,6,X,24,,,,,,
1,310,310,,RESERVA LEGAL,5,N,13,,,,,,
,,310,01,Reserva Legal,6,X,13,,,,,,
,,310,99,Act. B-10 Reserva Legal,6,X,23,,,,,,
1,315,315, ,RESULTADO EJERCICIOS ANT.,5,N,25,,,,,,
,,315,01,Res De Ejercicios Anteriores,6,X,28,,,,,,
,,315,99,Act. B-10 Res Ejercicios Ant.,6,X,29,,,,,,
1,320,320,,RESULTADO DEL EJERCICIO,5,N,23,,,,,,
,,320,01,Resultado del Ejercicio,6,X,23,,,,,,
,,320,99,Act. B-10 Res Del Ejercicio,6,X,27,,,,,,
1,325,325,,CORRECCIÓN POR REEXPRESIÓN,5,N,26,,,,,,
,,325,01,Corrección Por Reexpresión,6,N,26,,,,,,
1,330,330, ,EXCESO E INSUF. CAPITAL CONTAB,5,X,30,,,,,,
,,330,01,Exceso e Insuf. Capital Contab,6,N,30,,,,,,
1,335,335, ,IMPUESTOS DIFERIDOS BOLETÍN D4,5,N,30,,,,,,
,,335,01,IMPUESTOS DIFERIDOS (D-4),6,N,25,,,,,,
,,335,0101,ISR Diferido (D-4),7,X,18,,,,,,
,,335,99,Act. B-10 Imp. Diferido (D-4),6,X,29,,,,,,
1,340,340,,PRIMA X SUSCRIPCION ACCIONES,5,N,28,,,,,,
,,340,01,Prima X Suscripcion Acciones,6,X,28,,,,,,
XXXXX,4,4,,RESULTADOS ACREEDORAS,3,N,21,,,,,,
XXXXX,40,40,,INGRESOS,4,N,8,,,,,,
XXXXX,400,400,,VENTAS,5,N,6,,,,,,
,,400,01,VENTAS 16%,6,N,,,,,,,
,,400,0101,Ventas Espuma,7,M,13,,,,,,
,,400,0102,Ventas Poliet Espumado,6,M,22,,,,,,
,,400,0103,Ventas Eps,6,M,10,,,,,,
,,400,0104,Ventas Bolsas de Plastico,6,M,25,,,,,,
,,400,0105,Ventas Carton,6,M,13,,,,,,
,,400,0106,Ventas Empaque,6,M,14,,,,,,
,,400,0107,Ventas Colchones,6,M,16,,,,,,
,,400,0108,Ventas Almohadas,6,M,16,,,,,,
,,400,0109,Ventas Cojines,6,M,14,,,,,,
,,400,0110,Ventas Edredones,6,M,16,,,,,,
,,400,0111,Venta Resortes,6,M,14,,,,,,
,,400,0112,Venta de Tela,6,M,13,,,,,,
,,400,0113,Ventas Varios,6,M,13,,,,,,
,,400,0114,Ventas Madera,6,M,13,,,,,,
,,400,0115,Ventas Fundas,6,M,13,,,,,,
,,400,0116,Ventas Scrap,6,M,12,,,,,,
,,400,02,VENTAS 11%,6,N,,,,,,,
,,400,0201,Ventas Espuma,7,M,13,,,,,,
,,400,0202,Ventas Poliet Espumado,6,M,22,,,,,,
,,400,0203,Ventas Eps,6,M,10,,,,,,
